timestamp,can_id,data
2025-06-19 17:06:24.120,0x280,34 215 22 29 14 27 29
2025-06-19 17:06:24.123,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.123,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.127,0x280,34 215 22 29 14 27 29
2025-06-19 17:06:24.134,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.134,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.142,0x488,29 29 116 166 0 0 224
2025-06-19 17:06:24.148,0x280,33 241 22 29 14 27 29
2025-06-19 17:06:24.148,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.153,0x320,3 136 0 0 0 0 0
2025-06-19 17:06:24.153,0x280,33 241 22 29 14 27 29
2025-06-19 17:06:24.157,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.162,0x488,29 29 116 166 0 0 0
2025-06-19 17:06:24.162,0x520,143 1 169 71 158 162 1
2025-06-19 17:06:24.169,0x5D0,2 65 32 0 0
2025-06-19 17:06:24.169,0x5D8,4 0 0 0 0 0 0
2025-06-19 17:06:24.169,0x280,33 251 22 29 14 27 29
2025-06-19 17:06:24.180,0x280,33 9 23 29 14 27 29
2025-06-19 17:06:24.180,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.186,0x320,3 136 0 0 0 0 0
2025-06-19 17:06:24.186,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.189,0x280,33 9 23 29 14 27 29
2025-06-19 17:06:24.196,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.196,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.203,0x488,29 29 116 166 0 0 64
2025-06-19 17:06:24.203,0x280,33 9 23 29 14 27 29
2025-06-19 17:06:24.203,0x288,136 48 0 0 83 221 13
2025-06-19 17:06:24.210,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.210,0x280,33 9 23 29 14 27 29
2025-06-19 17:06:24.220,0x288,136 48 0 0 83 221 13
2025-06-19 17:06:24.220,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.224,0x470,0 0 0 2
2025-06-19 17:06:24.230,0x488,29 29 116 166 0 0 112
2025-06-19 17:06:24.231,0x280,33 21 23 28 14 26 28
2025-06-19 17:06:24.235,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.237,0x280,32 15 23 28 14 26 28
2025-06-19 17:06:24.239,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.245,0x320,3 136 0 0 0 0 0
2025-06-19 17:06:24.245,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.252,0x280,32 15 23 29 14 27 29
2025-06-19 17:06:24.255,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.259,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.264,0x280,33 4 23 29 14 27 29
2025-06-19 17:06:24.265,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.270,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.270,0x320,3 136 0 0 0 0 0
2025-06-19 17:06:24.276,0x280,33 4 23 29 14 27 29
2025-06-19 17:06:24.281,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.282,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.286,0x280,33 4 23 29 14 27 29
2025-06-19 17:06:24.290,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.292,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.297,0x488,29 29 116 166 0 0 208
2025-06-19 17:06:24.298,0x280,33 19 23 29 14 27 29
2025-06-19 17:06:24.303,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.309,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.310,0x280,33 19 23 29 14 27 29
2025-06-19 17:06:24.314,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.315,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.317,0x470,0 0 0 2
2025-06-19 17:06:24.317,0x280,33 13 23 29 14 27 29
2025-06-19 17:06:24.326,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.328,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.328,0x280,33 13 23 29 14 27 29
2025-06-19 17:06:24.337,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.342,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.343,0x280,33 35 23 29 14 27 28
2025-06-19 17:06:24.347,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.349,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.353,0x320,3 136 0 0 0 0 0
2025-06-19 17:06:24.358,0x488,28 29 116 166 0 0 64
2025-06-19 17:06:24.358,0x520,192 1 169 71 158 162 1
2025-06-19 17:06:24.365,0x280,30 36 23 26 14 24 28
2025-06-19 17:06:24.365,0x280,31 36 23 26 14 24 28
2025-06-19 17:06:24.370,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.375,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.376,0x488,28 26 116 166 0 0 96
2025-06-19 17:06:24.381,0x280,31 50 23 26 14 24 28
2025-06-19 17:06:24.386,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.387,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.392,0x280,30 50 23 26 14 24 28
2025-06-19 17:06:24.393,0x288,136 48 0 0 83 222 14
2025-06-19 17:06:24.398,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.401,0x488,28 26 116 166 0 0 128
2025-06-19 17:06:24.401,0x280,30 50 23 26 14 24 28
2025-06-19 17:06:24.409,0x288,136 48 0 0 83 222 14
2025-06-19 17:06:24.414,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.414,0x280,30 50 23 26 14 24 27
2025-06-19 17:06:24.420,0x288,136 48 0 0 83 222 14
2025-06-19 17:06:24.421,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.425,0x588,66 116 0 0 1 0 0
2025-06-19 17:06:24.430,0x280,30 62 23 26 14 24 27
2025-06-19 17:06:24.431,0x288,136 48 0 0 83 222 14
2025-06-19 17:06:24.436,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.436,0x280,30 57 23 26 14 24 27
2025-06-19 17:06:24.440,0x288,136 48 0 0 83 222 14
2025-06-19 17:06:24.447,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.448,0x320,3 136 0 0 0 0 0
2025-06-19 17:06:24.453,0x280,30 57 23 26 14 24 27
2025-06-19 17:06:24.453,0x288,136 48 0 0 83 222 14
2025-06-19 17:06:24.458,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.464,0x280,31 64 23 26 14 24 27
2025-06-19 17:06:24.464,0x288,136 48 0 0 83 222 14
2025-06-19 17:06:24.470,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.470,0x320,3 136 0 0 0 0 0
2025-06-19 17:06:24.475,0x280,31 64 23 26 14 24 27
2025-06-19 17:06:24.481,0x288,136 48 0 0 83 222 14
2025-06-19 17:06:24.482,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.482,0x288,136 48 0 0 83 222 14
2025-06-19 17:06:24.492,0x320,3 136 0 0 0 0 0
2025-06-19 17:06:24.493,0x480,0 236 143 0 0 2 110
2025-06-19 17:06:24.496,0x280,30 41 23 27 14 24 27
2025-06-19 17:06:24.496,0x280,31 11 23 27 14 24 27
2025-06-19 17:06:24.502,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.509,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.509,0x280,31 11 23 30 14 27 28
2025-06-19 17:06:24.509,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.509,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.520,0x488,27 27 116 166 0 0 64
2025-06-19 17:06:24.522,0x280,34 8 23 30 14 27 28
2025-06-19 17:06:24.522,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.530,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.536,0x280,34 8 23 29 14 27 28
2025-06-19 17:06:24.537,0x288,136 48 0 0 83 221 14
2025-06-19 17:06:24.542,0x380,106 14 0 128 0 0 13
2025-06-19 17:06:24.542,0x488,28 30 116 166 0 0 96
2025-06-19 17:06:24.543,0x280,34 32 23 29 14 27 28
2025-06-19 17:06:24.553,0x288,136 48 0 0 83 221 14
